,reviews
415,"✅ Trip Verified | LCA to LHR in Club Europe. Quick check-in at LCA with speedy passport control and security. Aspire lounge was clean and spacious with reasonable buffet food and drink. Boarding by group and pushback on time. CE stretched back a full 15 rows and the single toilet struggled. Drinks and meal service was efficient despite the many rows, but the vegetarian option was the usual pasta splodge and reminiscent of economy of yore. Onboard W-Fi was adequate, if rather slow, and it shouldn't be charged for in business class. Arrival ahead of schedule. Disembarking en masse and through e-gates surprisingly quickly. Overall, a flight that was typical of the post-COVID standard for short-haul business class."
416,"Not Verified |  I had booked a flight from Heathrow on Friday 27th August 2021 to fly to Manchester Airport. On arrival at Heathrow to check in, the British Airways staff informed me that I had booked both flight seats in my name by mistake. I offered to pay a fee to get the second seat changed to my sister's name but British Airways refused us to board and sent us home. However, the staff member who I spoke to at the desk promised to email us flight vouchers which I would get shortly so that I could fly at another time with BA since they do not offer refunds. I never received these flight vouchers. I have chased numerous times on the phone with BA staff who said that it was my error and that no flight vouchers would be sent to me. They have no record that a staff member spoke to me and promised these vouchers, they say I was just a 'no show' which is inaccurate. I have sent numerous emails to BA explaining what happened and asking form my promised vouchers. I have had no response to my emails/messages. One BA staff member on the phone said that I should track down the lady I spoke to at Heathrow and ask her if she remembers me. So ludicrous as I did not take her name and I doubt she would remember me since she sees hundreds of BA customers a day. "
417,"✅ Trip Verified |  We have flown with BA for many years and never will again where there is an alternative. Booked and paid for Club class flights. Didn't receive a meal or drinks onboard, crew were so unorganised. We were delayed on the ground for 30 minutes prior to departing so they had plenty of time to prepare but the in-flight service was delayed once up in the air. They commenced the service, albeit very slowly, then abandoned it and closed the service altogether. The crew never even had the decency to speak to us to apologise in person or even over the tannoy.  Complained to BA and received an apology by email with the usual ""we fell short of our standards"" generic speech, but no offer of any partial refund or Avios to compensate for the lack of service. "
418,✅ Trip Verified |  The crew at Denver airport is top notch! So impressed with their customer service. They were very patient and courteous. Thank you all for being amazing.
419,✅ Trip Verified |  An ordinary BA domestic shuttle flight from Belfast to London Heathrow. Usually uneventful except for the cabin crew announcement three times advising people complete a UK passenger arrival form from the gov.uk website or risk prosecution. Some people challenged this statement and were rebuked. BA Cabin Crew were adamant that this was now a requirement. But the regular traveller amongst us knew this was incorrect advice. Some people were anxious departing the aircraft. Other than that crisp snacks and water were offered which is a nice touch. Sky Cafe still not on sale - not quite sure why given COVID protocols in the UK are mainly relaxed now. BA is still by far the best operator from Ulster to England.
420,Not Verified |  I’ve had to book six flights with BA recently. All have either been cancelled or had a significant time change. The latest flight was so late into Heathrow we missed our connecting flight even though we’d scheduled around 2 hours between flights. BA staff at Heathrow were rude and generally clueless for the most part. They couldn’t get us to our destination within 24 hours of our scheduled arrival time. We booked an easyJet flight from Gatwick instead and had to pay to get ourselves to Gatwick. A complaint was registered several weeks ago with no response so far. Perhaps BA have a backlog of complaints the way they are performing at the moment. It’s an embarrassment that our national flag carrier is being comfortably out performed by budget airlines but that appears to be the case at the moment.
421,✅ Trip Verified |  The service is got super inconsistent on BA and the management of our diverted flight was unprofessional and lacked any shred of empathy. The flight down from London I was in business class I asked for the mini bottle of champagne that I always treat myself to the cabin crew member said I can’t give you the bottle only a glass. However the other crew member was giving bottles to other passengers in row one and two we were in 3. I asked for a top up and staff said not until they were finished the business cabin in case they would run Out. The crew should not pick and choose one passenger over another and change the service that is not fair. We got diverted as volcano ash was impacting Tenerife we needed to refuel at Gran Canaria 20 mins from Tenerife but we were diverted to Malaga. We got an e mail clearly stating meals and accommodation the crew also said the same - we got to the hotel and no dinner for us and there was no room service. Breakfast was at eight but our bus to the airport was also at eight all we could do at 7.50 was to grab something from the buffet and run to the coach. I have been on diverted flights before we got dinner and  breakfast.
422,"✅ Trip Verified | Such terrible service in Club World. Such indifference and lackadaisical attitude. Hardly any service. Everything has to be asked for and gotten. Asked for a cup of tea and had the flight say..'whaa' and then when I said cup of tea she said yes...asked if wanted milk and sugar. Brought to me lukewarm tea with 2 sugar sachets, no spoon or stirrer. Pushed the bell for stirrer and had to wait a full 3 mins before someone came by, eventually for a spoon and had to drink cold tea. Seriously BA...what are you doing? Is this how you welcome back people to fly?"
423,✅ Trip Verified |  LHR to LCA. Galleries Lounge chock-a-block first thing on a Wednesday morning and T5 seemed as bustling as pre-pandemic. Boarding by groups efficient and flight almost full. Superficially the cabin seemed clean although long hairs on pillows gave the game away. Expanded Club Europe stretching back 12 rows - the new norm? Departure on time. Good drinks service which sequed smoothly into lunch. Post-COVID lunch remains restricted - Do&Co must be horrified by what they're having to produce: miniscule salads and the worst gnocchi dish I've ever tasted. Wi-Fi access wasn't free for business class passengers: £4.99 for an hour of intermittent service is excessive. Arrival ahead of schedule and no issues with passport control at LCA.
424,"✅ Trip Verified |  Very pleasant flight to Lisbon! It was a full flight and we left about 10min late as we were taken to the aircraft by bus at Heathrow and the gate staff allow too much hand luggage to the aircraft. However, in the air great service by the 3 male crew on a big Club class cabin. Friendly and efficient crew even to some demanding and obnoxious passengers. Late breakfast/brunch served was tasty. What a contrast to the Iberia crew (Lisbon/Madrid/London) who were cold and unprofessional."
425,"✅ Trip Verified | No check in staff for Economy. Never experienced this before. While Business passengers strolled up, Economy passengers were left standing for 90 mins plus."
426,"✅ Trip Verified |  No refund for flights cancelled 14 months ago but provided a ticket voucher valid until 30 April 2022. Tickets bought on Edreams on June 16, 2020 for a flight on July 7, 2020, from Geneva to São Paulo through London (British Airways), round trip. The LHR-GRU flight was cancelled without any explanation. I contacted both Edreams and BA a number of times in the last 14 months but they did not refund the 461 Euros that I paid."
427,✅ Trip Verified |  Stranded in the lounge because I wasn't allocated a seat. This for a flight that I booked months ago. I didn't want to use them but was forced to because Emirates wasn't available. I advise travelers to shun them too and look for more customer friendly options.
428,"✅ Trip Verified |  I think British Airways needs to be much clearer about what their Covid-19 ""travel flexibility"" really means, because it doesn't pass the common-sense test: I purchased a round-trip business class ticket from New York to-and-from Mykonos through London. I traveled there with no problem. The day before my return to New York, though, I took my Covid-19 test and learned that I tested positive. I tried to call the airline on the many usless numbers they provide on their website. The recorded message drones on and on about how they have no one to answer the phone because of Covid safety and simply says ""therefore we can't answer your call; try again."" No ability to leave a call-back number or a voicemail, etc. For whatever reason the BA website thought that I had bought the ticket through a third-party agent (I did not - I bought it on BA.com) and so wouldnt let me cancel or reschedule the flight on the web site. I called and called over the coming days and could not get through to the London, Athens or New York lines. Two days later after having 2 negative PCR tests (the most accurate test), I learned I was not positive and so had to buy a new $5000 return flight to the U.S. I've now been calling the BA USA customer service line for nearly a month at least every other day, never to get through. Finally did and have been told that the fact that I couldnt get on the flight because of a COVID scare counts for nothing. The fact they dont have enough people answering the phone counts for nothing. Or that I was unable to change the flight to a few days later on the web site becuase the ticket was mis-booked. They have offered that if I send them a Greek doctor's note saying that I was sick, then they'll give me a voucher for a future flight from Mykonos to New York. I am speechless at the stupidity of this whole situation. "
429,"✅ Trip Verified |  My flight from Boston to Heathrow arrived in time, but I and other passengers were not allowed to disembark the plane. We were kept in the tarmac for one hour and a half without being given sufficient information about what was causing this delay. Because of this delay, I and other passengers lost the connecting flight to Tirana. I was offered another connecting flight which was 8 hours later from the time of arrival. When I booked this flight, one of the main reasons that made me choose it was the fact that the layover was a little bit more than an hour. Turning it into an 8 hour layover I think is unacceptable and very poor customer service. It shows lack of respect for your clients and lack of commitment by this company to provide to their customers what they were promised and what they paid for. I am very disappointed by this experience."
430,"✅ Trip Verified | Year after year the British Airways (BA) service on the same route (Washington-London) is becoming worse. We just had one bad experience after another on this route in July 2021.  British Airways (BA) notified us that our connection flight to Nice was bumped from 2pm to 6pm so we had to spend an extra 4 hours in the airport during this COVID era. Their website and emails prior to our day of flight kept asking us to check UK.gov for the COVID rules and regulations for transit through London which said that no COVID test was necessary if we could show proof of vaccine, however upon our arrival at the airport they told us we needed to go to the basement to take a COVID test to show negative results. They charged us $250 per person for a rapid COVID test which was an outrage and totally unnecessary. We could have gotten the test done at a cheaper rate had we known that this was a requirement prior to our flight. Food service was horrible (they served food with lots of cheese to me while I had requested a vegan meal due to may dairy allergies). BA damaged our Samsonite luggage and they told us at the airport that we needed to report this online. We have been trying to resolve this issue since July and after asking us for photos like 10 times, they are still giving us the run around. "
431,"✅ Trip Verified |  BA used to be my go to carrier and I am a silver member. However their service seems to have gone hugely downhill. Flights get cancelled, the best alternative flights are offered and whilst in theory you can cancel or amend bookings online or on the app, invariably this is not possible. You cannot contact them by email and you may find yourself sitting on a phone for 40 plus minutes to speak to someone. If they are busy due to cancelled flights they need to employ people to answer calls and emails promptly. I was stunned by the recent cancellation to my Catania flight two weeks before I was due to travel. "
432,"✅ Trip Verified |  The entertainment system was working badly, the screen was freezing every time I wanted to open flight map. Though the aircraft was 8 years only, the window blinds worked with delays. The crew informed passengers that there would be no headphones provided as it was supposed to be a short-haul flight. After flying with Aeroflot and S7 Airlines, I expected to receive an excellent BA service, but I got only a pack of crisps and a tiny bottle of water. I think it’s unacceptable for a non-low-cost carrier to offer service like this. I can get that hot meals on board are now rare. I loved the most comfortable seats in my life! I tend to have problems with sleeping on board, but this time I didn’t even noticed my falling asleep right after takeoff. "
433,✅ Trip Verified |  I flew on British Airways Cheapest Fare which was a Hand Baggage Only fare in Economy Class. Despite this being the cheapest fare you can actually carry two pieces of cabin luggage both weighing up to 23KG each. The value for money here is incredible. The ground staff at London Heathrow are very polite and helpful. The plane was clean and the cabin crew were very smiley and polite. This was a short haul flight but we were given a free packet of crisps and a bottle of water. There was Wifi onboard which we paid £11.99 for the full flight access package and it was great. It was fast enough to stream a movie on Netflix. If you are considering between a low cost carrier and a premium carrier like BA pay the extra and fly with the premium carrier. With the generous cabin luggage allowance and the free snacks on board it may end up being cheaper and nobody claps when the plane lands.
434,✅ Trip Verified |  Very efficient evening bag drop. Security quick. Galleries North lounge was very good. Food and drinks fine. Plane left on time pre ordered door was ok. Early arrival. Fortunately only our bags were not given priority tags and came out early!
435,"✅ Trip Verified |  Me and my 1 year 11 months baby girl flew business class from Moscow Domodedovo to London Heathrow on 11 august. When we landed at Heathrow, my baby was sleeping. I asked stewards for my stroller, and they said it is going to wait for me at the and of the corridor before entrance to terminal building. I grabbed my sleeping baby, who is nearly 15 kg, and luggage bag (another 15 kg) and walked away. I went and entered the building, and met no one with my pram or just my pram left somewhere in this corridor. And there was no one to ask. Just a flow of passengers behind me and in front of me. On top of that, we landed at terminal 5,and I had to travel on a train to arrivals terminal for passport control and other procedures still on my own, holding my baby and heavy bag on my shoulder. I met no one whom I can ask for a help. First British airways representative I met was after passport control , i explained the situation and he said that I have to go downstairs and my pram will be with my suitcases.  No further assistance or help. I had to wait another hour for luggage and pram. I am absolutely frustrated, upset and disappointed! I can see that British Airways do not care about mothers with kids at all."
436,"✅ Trip Verified |  For this flight from Heathrow T5, passengers were piled into the bus and left for 30 mins at the terminal.  Very unhappy passengers - and when confronted the BA transport manager's response was ""sorry - we are still learning"". On arrival at the aircraft a gentleman who came on a wheelchair had no help with his luggage (I helped). Shame - since lounge service was very good. For the flight out from Munich BA had not (re) signed up to the now open lounge in Munich. To me looks like a systemic failing rather than a one off event."
437,"✅ Trip Verified | BA encourage you to download verifly to speed up your check-in, this is absolutely rubbish as the desk staff don’t seem to want this, they want to see the actual forms tests etc! This wasted about 40 minutes and is pointless. The return flight again had no access to the club lounge, you pay for extras such as this as part of the business class ticket price and should by now be made available again (last 2 flight not available at NCE but this is more a part of the Covid experience). On board staff were good although one did joke to another welcome to Ryanair. On board food was very good for a short haul flight."
438,✅ Trip Verified |  They cancelled a flight I booked three months ago for some operational problem at a time where the prices are off the roof. British Airways could not give me any alternatives other than refund or a voucher. 
439,"✅ Trip Verified |  I’ve been flying with BA for years and never had any issues. I recently had to arrange to have surgery in Budapest and naturally wanted to fly BA. So I booked my flights from BHD to BUD via LHR online on their site. Once booked I informed the hospital and confirmed my appointment. The very next day I received an email from BA telling me they had cancelled my flight to BUD but not to worry as they had moved me to an earlier (a much earlier) flight the same day. Only problem was this earlier flight departed around two hours before my flight from BHD arrived. I would have thought that this would have flashed up on their system as being an issue, but seemingly not… *interlude* To get into Hungary during covid one needs a valid reason, with medical treatment being one. I had to fill in a very confusing form on the Hungarian police website that was a confusing mix of Hungarian and pidgin English. Anyway form filled in with flight numbers etc, emailed to the authorities there and exemption granted. So I took the earlier flight but this meant I had to fly into London the previous evening and stay overnight in a hotel. So operation booked, hotel booked, airport transfers booked immigration papers amended and re sent and admiration granted and flights re booked, what could go wrong? Around three weeks before I was due to travel, BA, rather unsportingly, decided to cancel my flight to BUD again. Needless to say I was furious. I complained to BA customer services and was given a stock excuse about covid disrupting air travel. Great excuse, only having looked at BUD arrivals info, Ryanair had been flying there once daily for at least the preceding several months. So BA’s covid excuse rang somewhat hollow. Epilogue: I got refunded most of my money from the flights I booked with BA, although they refused to refund my BHD - LHR flights because who knows? I also lost the money I had spent on a hotel and half of the money I had spent on booking airport transfers. Given the cavalier attitude BA seem to have to bookings and their indifference to ruining weeks of preparation on my part and the fact that I lost a not inconsiderable sum of money, I’ve decided to avoid BA from now on."
440,"✅ Trip Verified |  Check in well organised. No lounge in Cancun. Efficient boarding process. Given water bottle before take off, no welcome drink. Now COVID rules are being relaxed this needs to change. Menu good and food acceptable. Staff were experienced and well organised and gave a very slick on board experience. Managed to sleep a few hours. For the first time my tagged luggage was off quickly. This may reflect the fact that our flight was the only one into Gatwick at that time."
441,"✅ Trip Verified |  Departure LGW north so Aspire lounge. Bag from fine, lounge basic, on time departure. Cabin crew welcoming but only given menu, water and amenity pack. Looks like some of White Company bedding options removed. Lunch was fine and good pre meal drinks service. Not complete return to old days but getting there. Flight generally good. Early touch down. Club world luggage off last which meant a wait of 75 minutes for luggage!"
442,"Not Verified |  Booked flight six months before travel, then month before the flight BA cancelled the flight giving the option to rebook for another day - bearing in mind that people have work and school that wasn't ideal on top of booked parking for over three weeks. We rebooked the flight- as suggested by them and a week later BA cancelled the rebooked flight. We were told that we will receive a refund within 10 working days. Over two weeks passed and I called again. I was informed that they can't give a time frame for processing refunds, and no refund issued yet. BA representative refuses to give contact details to the manager, they cut the phone. "
443,"Not Verified |  The airline cancelled my initial return flight with a 2 hours layover in London, and my only option was to book the next flight that has a 7-8 hours layover. That's before I board the flight to Toronto. While i understand schedule changes, and do my best to stay positive and supportive, i contacted the airline, asking for upgrades to a best seat. I asked for access to the airport lounge during my prolonged stay in the airport. They denied my ask, no explanations and no empathy. Not only that, but they ignored my subsequent ask to provide a path to escalation. Again, not the change in schedule, not the extra 5 hours layover time. Just the way they chose to treat a customer who didn't do anything wrong except trusting them with his commute. "
444,"Not Verified |  I was traveling with my wife in business class from Seattle to Bangalore via connecting flight in London and we reserved our seats together while booking the tickets. But mysteriously they changed it later and when we got our boarding pass, they assigned 11h and 5d. Called several times but they couldn't do anything and gave us explanations like may be some one else needed those seats and there are no other seats together available. When we boarded, the whole plane was empty and still they didn't allow us to seat together. "
445,"✅ Trip Verified |  I usually avoid BA because of its appalling customer service and sneaky extra charges, but this flight was my only option. Note that BA actually charges for seat pre-selection in biz class -- 100 UK pounds in this case! Does any other airline in the world dare do that? I saved the money and waited until checkin to choose my seat for free. The seats were BA's universally derided, cramped 6-across back-to-front configuration, where you stare into the face of your seat mate an arm's length away. No other airline ever came up with this awkward arrangement --- I wonder why? No preflight drink was offered. At meal time I selected one of the three main offerings, only to be told it wasn't available -- even though there were only 3 people in my 16 seat biz section. The seat area has practically no storage except a tiny drawer at ankle level that is inaccessible when the seat is in lie flat position. The ""bed"" is the narrowest I have experienced in biz class, and is also very hard. The cabin was very cold and the blanket very thin; I had to raid blankets from two other seats just to stay warm. The amenity kit is the smallest I've ever seen in biz class -- it fits in the palm of the hand. All in all, this uncomfortable, miserly experience is hardly worth the £5,727 that BA charges for this route. I used miles to pay for my ticket -- but of course got whacked with BA's unique and notorious ""fuel surcharge"" fee of $636 for using miles."
446,"Not Verified |  Aktion airport has only recently opened its new facilities and check-in and departure certainly seemed very clean and efficient, although admittedly it’s only having to cope with a low passenger load at present. It was good to see that check-in carefully scrutinised lateral flow certificates and passenger locator forms. Thanks to just 30 passengers on board, with more than half in Club Europe, the flight took off ahead of time. Service was a little perfunctory and the food was more reminiscent of economy than business class, with too much pre-packaging - the COVID effect, presumably. Arrival into T5 was also comfortably ahead of schedule, and although we were dreading many hours of queuing at border control, we were through the e-gates and collecting our luggage just 20 minutes after landing."
447,"✅ Trip Verified |  I want to say a big thank you to Kahina Ladjouze. After frustratingly missing my flight due to M25 road closures, she helped me secure and book the next day flight without additional charges. I am really grateful."
448,"✅ Trip Verified | After sixteen months of being grounded by COVID, it felt almost surreal to be back in T5, heading for what to us was essential summer sun in Greece. T5 was blissfully quiet, with no queues at check-in or security, and even the Galleries South lounge was less frenetic than usual, despite families with kids similarly desperate to escape Boris Johnson’s bully boy attitude. Ordering food and beverages from one’s table seems something worth continuing, avoiding all the wastage of endlessly replenished buffets. The flights was very quiet, with just 30 pax on board, 9 of whom were in Club Europe. Boarding by row also seemed a welcome improvement on the previous ‘groups’. Service on the flight was good and the food was of the usual Do&Co quality. Landing was ahead of schedule and we were through passport control in just a few minutes after a quick check of vaccination certificates and the passenger locator form. Overall, a thoroughly reassuring, coming out of COVID, experience."
449,"✅ Trip Verified | BA cancelled flight in Dec 2020. Refund was promised in voucher form by call center. We are now 6 months down the line, 13 calls of which each is 40 min waiting time, and 16 email reminders. Conclusion is that they are just going in circles to avoid issuing any voucher. Head of call center is keeping to her empty promises."
450,✅ Trip Verified | Fantastic flight down to Heathrow. Crew doing their best to keep everyone happy in challenging times. Nice to see they have introduced a free snack and water. It’s a start.
451,"✅ Trip Verified |  Boarding and disembarking were greatly organised: passengers were boarded at the gate by seperate rows, from the backside to the front (business), minimizing the possiblity for jamming. Same at disembarking: passengers were asked to remain seated, then row per row was called. crew members were supporting the process. What could be improved: distribute hand-sanitizer during boarding. When snack was distributed my row (#8 business) was overlooked for some reason; after a while my seat neighbour highlighted that we did not get food - staff was surprised and fixed it, This was my first flight since one year, and I appreciated the COVID measures taken by BA - still it left some strange experience."
452,"✅ Trip Verified | This was not my best experience with BA thus far as there were a couple of disappointments. I was happy with the fast baggage check-in. This was a bus gate which is not my favourite thing but not a blemish on the airline. The COVID protocols are not as robust as they should be, particularly attendants need to be armed with sanitizer at the cabin entrance. There was a big mix up which I find inexcusable - I and another passenger were allocated the same seat on the same plane, causing a few anxious moments and the friendly attendant had to get me another seat but I don't expect such at this level. Bottles of water were offered to every passenger which was welcome. The plane arrived 10 minutes late."
453,✅ Trip Verified |  Ok flight apart from they cancelled the majority of the outbound and crammed everybody on one flight. After having my return cancelled 3 times I opted for a voucher so I could rebook a new route. I had not been informed before requesting the “E-voucher” and I would need to call up to rebook (I’m in a different country and the phone tariffs are extortion). So not only was my flight cancelled 3 times I wasn’t offered an option to rebook a new flight online I was inconvenienced every step of the way.
454,"✅ Trip Verified | Absolutely appalling experience. British Airways, unfortunately, has lowered it's standards and to my dismay, I've been recently having a much better flying experience with budget airlines rather than BA. Customer service representatives are completely clueless, unprofessional and not bothered.  I recently had my flight cancelled on 3 occasions and the staff weren't interested in helping me return home."
455,"✅ Trip Verified | Had booked the above mentioned flight. But the travel restrictions changed a week before the travel dates. The airline didn’t notify me until I learned that I could not fly with the airlines only at the airport when I went for check-in. It was a single ticket with the company and they said they didn't realise I was flying from Canada to India via London. The restrictions didn't allow any via flights but were ok with direct ones. When I booked a single ticket from Canada to India, how come they didn't realise I couldn't fly? No refund at all. Gave me a credit for me to travel anytime in the next two years, but I don't have any travel plans for the next two years. That means my money is gone? When talking to representatives, they ridiculously put everything on the website agents which was 'Onetravel'. The worst experience ever with an airline. Am a frequent flyer, was trying BA for the first time but now I guess I am never going to fly with you. On my return journey, the other flight gave me a full refund when the new travel restrictions didn't allow them to take me. A poor show with BA."
456,"✅ Trip Verified |  My return flight from Antigua to London was cancelled 2 times. When I call to BA several times their computer system didn’t work and they couldn’t issue new ticket, as the result I had to pay airport price for baggage, as I couldn’t pay online without ticket. They promised to give me compensation of hotel stay, food and travel if complete online form. When I done it, I was asked to submit expenses, but link provided was to lost baggage expenses, not what I claimed. I replied that link is wrong and asked for correct link. They replied that they wouldn’t compensate anything. "
457,Not Verified |  4 cancellations for 1 month! Applying vouchers only to find out they don't work after new cancellation! Terrible stammers. Do not recommend to anyone in Covid restrictions.
458,"✅ Trip Verified |  I had travelled to India for an eye surgery, on my flight back to London Heathrow I was assisted by a member of the cabin crew Madeline Thomas. She was an amazing person as she made sure I was feeling okay as I had come back from my surgery and was traveling by myself. She was more then a nurse and took care of my needs like a mom. She also made sure I had eaten my food and stood by next to me as I was feeling awful because I was in lot of pain"
459,"Not Verified |  I was travelling back from Mexico City on a business trip. Fully aware of the covid safety restrictions at the moment, which the staff do an admirable job with - but nevertheless a lot to say on the state of BA First at the moment. Firstly - no lounge at all at Mexico City Terminal 2. There's a paid lounge, but the check in staff wouldn't help with the details. Mexico City Terminal 1 has functional lounges for AeroMexico working. Not good enough for an expensive ticket. Finally got to board and the staff are incredible - but throughout they were super apologetic as to what was to come. The food was literally inedible in First and staff offered commented as much every time. So for an 11 hour trip in First the option really was chocolate or crisps. The first suite on the flight had visible signs of wear and tear and needs some attention. The seat would not easily convert to a bed. It had scuff marks around it and generally looked a bit shabby. Again, not what you'd expect from a premium product. I left my watch on the flight in error and contacted BA immediately about this. Despite assurances that they have a comprehensive cleaning process during Covid my watch was never found. BA has outsourced their lost and found service to a separate company and in the process they have completely washed their hands on helping out customers. Given that I told them specifically where I'd left the watch I can only assume that one of the cleaning staff decided to keep it. All in all, you pay premium on a flight for additional service. BA isn't offering it at the moment. If it is essential that you have to fly really don't bother with first unless you have to - or go to another airline. The company just don't care."
460,Not Verified |  Charge £700 fee to make an amendment to a booked holiday well in advance. Absolutely disgraceful. Their site says £30 fees for amendments and when you ring up they say that you ticked the terms and conditions box and refer to page 27 of terms and conditions and use it to charge you an extortionate amount.  I received nothing but bad attitude and rudeness from the representative.
461,"Not Verified |  Good service the whole way. Nothing exceptional but it was only a short flight. Plane was clean and refreshments were provided. My only issue is that the flight was packed - understandable as it was just before Chirstmas but surely it is not wise to have strangers sitting so close to each other during a pandemic, even with the masks? My return flight was cancelled but it was easy to transfer to a new flight so no issues there either - just hoping for a little more personal space next time! Also wi-fi did not work. I also liked that they had a system for boarding and disembarking to avoid everyone rushing at the same time, brought in for the pandemic I'm sure but I hope this is something they continue into the future as it made the experience much more pleasant. Value for money marked down only because the Christmas flights were so expensive! To be expected though, I know."
462,"Not Verified |  I entered the plane with a bunch of white flowers and a flight attendant joked that I should have felt obliged to bring the flowers, when she realized that I was going to my Mother's funeral with the flowers she was apologetic (she had no idea why I was bringing in flowers) but the crew were very nice to me during this flight."
463,"✅ Trip Verified |  I was supposed to fly with Aeroflot on the 23rd of December to Moscow. But because Russia has closed its borders, like the majority of other countries, the flight was canceled, and I couldn’t get home. I’ve also tried to fly through Antalya, but the same situation occurred. On my third try, I came to Heathrow and tried to fly away to Cairo. I was declined by another company. Then I went to British Airways. Starting from testing (because Egypt requires tests), as stressful as the whole situation was, the employees were outstanding! (I’m not sure is it connected to BA, but still, I want to mention this). The crew was very helpful and extremely understanding, very professional and urgent to help, they have been a great help and I am very gracious for this. I want to separately point out one employee - Shanell (if I am not mistaken, who works at Collision testing center in Heathrow Terminal 5). She is a savior and most importantly a human, which is very rare nowadays! Carrying on, I went to BA check-in, but unfortunately couldn’t do it, as my results didn’t go through yet. However, another outstanding employee who provided great help called her colleagues and arranged for the booking to be frozen until the results arrive. I’ve come to her 3 times with additional questions, and every time she was very patient, professional, and happy to help. After I got my results I came back to Heathrow on 24th, but unfortunately, there were no flights to Cairo, the situation became even more complicated (I will spare the details). However, here again, brilliant employees of BA offered their personal assistance and showed sympathy and humanity towards me. The nicest lady I’ve ever met, unfortunately, I didn’t catch her name, but I am aware it was her first day at BA and that she is Egyptian, followed me throughout my struggles, offered me emotional and professional support. She tried to find any possible ways for me to get back home and actually did. She was open to any kind of help and was enormously helpful for which I can’t thank her enough. She also asked her colleague to help me, which he kindly did.  Lastly, the nice lady (shame I don’t know her name) also shared my struggles with her colleague Mani who came to substitute her on the position. He was very friendly and attentive as well, talked me through the process, offered different ways I can stay at the airport, gave his phone to call, and offered to drop me off at the hotel, which he did not have to do whatsoever. To conclude, I merely want to thank all of these individuals one more time, as they have been a great help both in physical and mental aspects, I honestly do not know what would I do if I haven’t met them. I don’t know was I just lucky to meet these people or all BA employees are of the same morality, but I do want to thank BA for hiring and providing jobs for these great human beings as well as upholding the standard for other airlines! For some people, the help that was provided to me might seem like a normal thing to do. However, for me, it was a pleasant and so much needed surprise. As no one in"
464,"✅ Trip Verified |  Dubai to London on 5th December. Flight was ok - seat comfortable enough, crew reasonably friendly but my food was gross.  Both flights almost full with little social distancing and plenty of mixed groups sat next to each other. Lots of passengers with masks below nose or not on at all. When coming back to Heathrow many seemed to have below their nose. Announcement made at the beginning about masks. Crew challenged a couple of people at beginning of flight for not having them on or below nose but seemed to give up at the end. When leaving plane good number had already taken off yet nothing. On way back not a single maskless or incorrectly worn mask challenged. A guy opposite me had his mask below nose the whole flight. He had a conversation with several attendants neither of whom said anything.  Not like the crew were busy either, did 2 services the whole flight then rest of the time didn’t see them. Of course flying in these times is a risk but those risks can be reduced by passengers wearing masks, enforced by the airlines."
465,"✅ Trip Verified | This is my first flight since January. We have had three cancellations which BA handled superbly. But this flight went ahead. Check in at LHR was fine, no fast track se unity at T5. Galleries South lounge open, they have an app system, it seemed to work well and my breakfast arrived quickly. Followed this with a shower (they are open-limited hours). Flight on time and well presented A321. Staff worked hard, nice drinks run, the packed lunch was not dissimilar to the old short haul economy product but was fine in these times. Landed on time, priority baggage cane off late. Overall, happy with product and would use again."
466,"Not Verified |  I had a direct flight from London to Lahore and travelling with them was a nightmare. They did not have milk for my son's bottle, didn't even give warm water for his formula milk. No kids meals, no snacks. Meal portion size was tiny, 1/4 glass of juice. You literally have to beg them for drinks water etc.. Staff was so rude and treated us like trash. If you compare them with Emirates, I would give Emirates 10/10 and British airways 2/10. It's not at all child friendly. I will never travel with them again."
467,"Not Verified |  Overall I have to say I am really pleased with the service BA provided, given the circumstances which must be particularly challenging for airlines. I had to call BA a few times regarding both my outbound and return flight and I would rate their customer service 10/10. Everyone I talked to was extremely friendly and helpful, one employee even tried to help me figure out the recently updated arrival regulations from an Italian website and listened to my rant about constantly changing restrictions and quarantines. I was refunded promptly for part of my flight that had been cancelled and I was able to change my return flight to a completely different route and date with only a minimal charge. They have really shown flexibility here, which is needed when travelling in 2020. The flight itself was fine and I appreciate that food and drink options are currently a bit limited, given that everyone should wear their mask as much as possible rather than sipping tea. The one thing - which I mean as constructive criticism though - I think BA could improve is a little more exchange with their destination airports. The arrival sheets for Italy we were given on the flight were outdated and the ground staff in Heathrow in charge of the boarding procedure did not even know that swab tests were now mandatory for arrivals in Italy when I asked him whether he knew any details of what to expect in Venice. That's fine on the first day after (yet another) update, but this rule had been in place for 4 days on the day I travelled. Overall my experience with BA was very positive though and I am happy to spend a little more on my flight than I would with some cheaper airlines for the great customer service I received."
468,"✅ Trip Verified | I am extremely pleased with British Airways as they refunded my tickets Munich-London City-Munich within 2 working days in a friendly and professional manner: the difference between British Airways and Lufthansa is night and day. Friendly, professional and prompt are 3 adjectives to describe BA, while Lufthansa is best summed up as arrogant, impossible to contact and ignorant. Well Done and Best Wishes to all at British Airways."
469,"✅ Trip Verified |  Boarding and checkin formalities are very nice. Check in help desk was very helpful and supportive. Everything was nice except food. I am vegan and there was no food availability for vegetarian passengers if not pre-ordered. My flight was 10 hour journey from London to Bangalore, and I was hungry."
